시간,연도,연휴,추석기준,연휴길이,출발지,도착지,소요시간(분)
11,2021,추석,D-1,3,서울,부산,294.608
12,2021,추석,D-1,3,서울,부산,296.066
13,2021,추석,D-1,3,서울,부산,295.425
14,2021,추석,D-1,3,서울,부산,296.583
15,2021,추석,D-1,3,서울,부산,297.0495
16,2021,추석,D-1,3,서울,부산,303.2165
17,2021,추석,D-1,3,서울,부산,298.9915
18,2021,추석,D-1,3,서울,부산,287.533
19,2021,추석,D-1,3,서울,부산,274.0245
20,2021,추석,D-1,3,서울,부산,264.8665
21,2021,추석,D-1,3,서울,부산,264.5
22,2021,추석,D-1,3,서울,부산,274.6
23,2021,추석,D-1,3,서울,부산,246.266
0,2021,추석,D,4,서울,부산,219.458
1,2021,추석,D,4,서울,부산,239.0665
2,2021,추석,D,4,서울,부산,248.5165
3,2021,추석,D,4,서울,부산,271.52875
4,2021,추석,D,4,서울,부산,252.408
5,2021,추석,D,4,서울,부산,267.88866666666667
6,2021,추석,D,4,서울,부산,282.194
7,2021,추석,D,4,서울,부산,290.625
8,2021,추석,D,4,서울,부산,303.416
9,2021,추석,D,4,서울,부산,294.8745
10,2021,추석,D,4,서울,부산,301.0
11,2021,추석,D,4,서울,부산,326.558
12,2021,추석,D,4,서울,부산,345.9995
13,2021,추석,D,4,서울,부산,348.42766666666665
14,2021,추석,D,4,서울,부산,369.9495
15,2021,추석,D,4,서울,부산,359.2415
16,2021,추석,D,4,서울,부산,345.858
17,2021,추석,D,4,서울,부산,337.7245
18,2021,추석,D,4,서울,부산,327.9995
19,2021,추석,D,4,서울,부산,319.0333333333333
20,2021,추석,D,4,서울,부산,348.916
21,2021,추석,D,4,서울,부산,303.5
22,2021,추석,D,4,서울,부산,286.183
23,2021,추석,D,4,서울,부산,279.633
0,2021,추석,D+1,5,서울,부산,269.3
1,2021,추석,D+1,5,서울,부산,266.283
2,2021,추석,D+1,5,서울,부산,263.25
3,2021,추석,D+1,5,서울,부산,256.383
4,2021,추석,D+1,5,서울,부산,265.983
5,2021,추석,D+1,5,서울,부산,240.2995
6,2021,추석,D+1,5,서울,부산,237.783
7,2021,추석,D+1,5,서울,부산,268.016
8,2021,추석,D+1,5,서울,부산,242.083
9,2021,추석,D+1,5,서울,부산,248.358
10,2021,추석,D+1,5,서울,부산,247.9995
11,2021,추석,D+1,5,서울,부산,259.866
12,2021,추석,D+1,5,서울,부산,262.16633333333334
13,2021,추석,D+1,5,서울,부산,266.358
14,2021,추석,D+1,5,서울,부산,270.541
15,2021,추석,D+1,5,서울,부산,273.558
16,2021,추석,D+1,5,서울,부산,258.74966666666666
17,2021,추석,D+1,5,서울,부산,276.816
18,2021,추석,D+1,5,서울,부산,269.5415
19,2021,추석,D+1,5,서울,부산,267.333
20,2021,추석,D+1,5,서울,부산,250.208
21,2021,추석,D+1,5,서울,부산,277.483
22,2021,추석,D+1,5,서울,부산,270.683
23,2021,추석,D+1,5,서울,부산,263.866
0,2021,추석,D+2,6,서울,부산,225.483
5,2021,추석,D+2,6,서울,부산,
6,2021,추석,D+2,6,서울,부산,227.116
7,2021,추석,D+2,6,서울,부산,236.983
8,2021,추석,D+2,6,서울,부산,218.4
9,2021,추석,D+2,6,서울,부산,215.458
10,2021,추석,D+2,6,서울,부산,225.9495
11,2021,추석,D+2,6,서울,부산,236.3245
12,2021,추석,D+2,6,서울,부산,240.983
13,2021,추석,D+2,6,서울,부산,243.108
14,2021,추석,D+2,6,서울,부산,249.094
15,2021,추석,D+2,6,서울,부산,259.14966666666663
16,2021,추석,D+2,6,서울,부산,263.1665
17,2021,추석,D+2,6,서울,부산,243.616
18,2021,추석,D+2,6,서울,부산,254.216
19,2021,추석,D+2,6,서울,부산,256.516
20,2021,추석,D+2,6,서울,부산,258.8
21,2021,추석,D+2,6,서울,부산,265.433
22,2021,추석,D+2,6,서울,부산,300.65
0,2021,추석,D+3,7,서울,부산,233.333
1,2021,추석,D+3,7,서울,부산,293.716
2,2021,추석,D+3,7,서울,부산,281.9
3,2021,추석,D+3,7,서울,부산,270.1
4,2021,추석,D+3,7,서울,부산,258.283
5,2021,추석,D+3,7,서울,부산,246.466
6,2021,추석,D+3,7,서울,부산,253.183
7,2021,추석,D+3,7,서울,부산,266.566
8,2021,추석,D+3,7,서울,부산,269.316
9,2021,추석,D+3,7,서울,부산,266.5495
10,2021,추석,D+3,7,서울,부산,264.2165
11,2021,추석,D+3,7,서울,부산,269.641
12,2021,추석,D+3,7,서울,부산,271.266
13,2021,추석,D+3,7,서울,부산,266.3415
14,2021,추석,D+3,7,서울,부산,263.083
15,2021,추석,D+3,7,서울,부산,272.441
16,2021,추석,D+3,7,서울,부산,271.983
17,2021,추석,D+3,7,서울,부산,279.772
18,2021,추석,D+3,7,서울,부산,277.775
19,2021,추석,D+3,7,서울,부산,286.816
20,2021,추석,D+3,7,서울,부산,301.116
21,2021,추석,D+3,7,서울,부산,315.433
22,2021,추석,D+3,7,서울,부산,329.733
