,stdHour,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,iStdYear,trfl,message,code
107,13,2022년,설날,2,D-2,2,,293273,,
108,15,2022년,연말연시,1,D+2,6,,262815,,
109,15,2022년,추석,3,D-3,1,,307581,,
110,10,2022년,연말연시,1,D+1,5,,198115,,
111,06,2022년,설날,2,D-2,2,,58624,,
112,01,2022년,설날,2,D-3,1,,41422,,
113,21,2022년,연말연시,1,D+1,5,,154281,,
114,20,2022년,연말연시,1,D+3,7,,146143,,
115,11,2022년,설날,2,D-1,3,,310999,,
116,12,2022년,설날,2,D+1,5,,286620,,
117,15,2022년,설날,2,D+2,6,,271121,,
118,19,2022년,추석,3,D-3,1,,261375,,
119,20,2022년,연말연시,1,D+2,6,,141625,,
120,10,2022년,연말연시,1,D+3,7,,263410,,
121,08,2022년,설날,2,D-2,2,,124928,,
122,13,2022년,연말연시,1,D+2,6,,248766,,
123,01,2022년,설날,2,D,4,,18846,,
124,08,2022년,연말연시,1,D+2,6,,314571,,
125,12,2022년,설날,2,D+2,6,,251159,,
126,11,2022년,설날,2,D+2,6,,254763,,
127,18,2022년,연말연시,1,D+1,5,,240194,,
128,14,2022년,설날,2,D-3,1,,302082,,
129,09,2022년,설날,2,D+1,5,,132340,,
130,00,2022년,설날,2,D+2,6,,37653,,
131,17,2022년,설날,2,D-1,3,,258153,,
132,20,2022년,설날,2,D-3,1,,143053,,
133,07,2022년,설날,2,D-1,3,,85502,,
134,06,2022년,설날,2,D-3,1,,97250,,
135,02,2022년,연말연시,1,D+1,5,,14466,,
136,15,2022년,연말연시,1,D+1,5,,306366,,
137,03,2022년,연말연시,1,D+1,5,,12020,,
138,19,2022년,연말연시,1,D+2,6,,188544,,
139,19,2022년,설날,2,D+2,6,,179793,,
140,03,2022년,연말연시,1,D+3,7,,21336,,
141,13,2022년,설날,2,D-3,1,,293089,,
142,16,2022년,설날,2,D+3,7,,299464,,
143,12,2022년,연말연시,1,D+2,6,,236028,,
144,10,2022년,추석,3,D-3,1,,297973,,
145,06,2022년,설날,2,D+1,5,,39978,,
146,23,2022년,설날,2,D+1,5,,63203,,
147,07,2022년,연말연시,1,D+3,7,,274308,,
148,05,2022년,설날,2,D-2,2,,36305,,
149,11,2022년,설날,2,D-2,2,,280855,,
150,00,2022년,설날,2,D-2,2,,41180,,
151,21,2022년,설날,2,D,4,,168266,,
152,00,2022년,연말연시,1,D,4,,52789,,
153,17,2022년,설날,2,D,4,,311920,,
154,15,2022년,연말연시,1,D+3,7,,269993,,
155,15,2022년,설날,2,D-3,1,,302231,,
156,05,2022년,설날,2,D+1,5,,24349,,
157,17,2022년,연말연시,1,D,4,,279578,,
158,01,2022년,설날,2,D+3,7,,23848,,
159,12,2022년,설날,2,D-3,1,,295580,,
160,06,2022년,설날,2,D+3,7,,164327,,
161,13,2022년,설날,2,D+3,7,,269538,,
162,16,2022년,연말연시,1,D+3,7,,285152,,
163,19,2022년,설날,2,D-3,1,,169079,,
164,00,2022년,연말연시,1,D+2,6,,37605,,
165,02,2022년,추석,3,D-3,1,,28553,,
166,21,2022년,설날,2,D-3,1,,132056,,
167,16,2022년,설날,2,D-3,1,,298936,,
168,12,2022년,설날,2,D+3,7,,253998,,
169,00,2022년,설날,2,D+1,5,,54897,,
170,20,2022년,추석,3,D-3,1,,213173,,
171,16,2022년,설날,2,D,4,,353992,,
172,23,2022년,설날,2,D-2,2,,65728,,
173,22,2022년,설날,2,D-2,2,,99108,,
174,23,2022년,설날,2,D+3,7,,58580,,
175,02,2022년,연말연시,1,D+3,7,,20134,,
176,09,2022년,설날,2,D+3,7,,253000,,
177,10,2022년,설날,2,D-1,3,,261934,,
178,18,2022년,설날,2,D,4,,246951,,
179,21,2022년,추석,3,D-3,1,,175012,,
180,19,2022년,연말연시,1,D+3,7,,191441,,
181,07,2022년,연말연시,1,D,4,,91435,,
182,22,2022년,설날,2,D-1,3,,81248,,
183,17,2022년,설날,2,D+1,5,,258379,,
184,21,2022년,연말연시,1,D+2,6,,117480,,
185,16,2022년,연말연시,1,D+2,6,,277698,,
186,18,2022년,연말연시,1,D+3,7,,275875,,
187,05,2022년,설날,2,D-1,3,,32402,,
188,09,2022년,설날,2,D-2,2,,176972,,
189,18,2022년,연말연시,1,D,4,,224641,,
190,01,2022년,연말연시,1,D+2,6,,23669,,
191,00,2022년,설날,2,D+3,7,,33287,,
