,날짜시간,연도,추석기준,통행량
382,2020-09-29 18:00:00,2020,D-2,320078
383,2020-09-29 02:00:00,2020,D-2,29556
385,2020-09-29 07:00:00,2020,D-2,282796
389,2020-09-29 04:00:00,2020,D-2,40021
390,2020-09-29 20:00:00,2020,D-2,232777
394,2020-09-29 01:00:00,2020,D-2,37047
400,2020-09-29 10:00:00,2020,D-2,269295
401,2020-09-29 19:00:00,2020,D-2,275078
405,2020-09-29 16:00:00,2020,D-2,334638
406,2020-09-29 15:00:00,2020,D-2,322865
417,2020-09-29 08:00:00,2020,D-2,296646
424,2020-09-29 05:00:00,2020,D-2,94613
426,2020-09-29 00:00:00,2020,D-2,53944
429,2020-09-29 14:00:00,2020,D-2,309071
430,2020-09-29 13:00:00,2020,D-2,287880
434,2020-09-30 02:00:00,2020,D-1,48860
437,2020-09-30 03:00:00,2020,D-1,44777
439,2020-09-30 11:00:00,2020,D-1,291447
440,2020-09-30 23:00:00,2020,D-1,60900
441,2020-09-30 07:00:00,2020,D-1,139682
442,2020-09-30 09:00:00,2020,D-1,223397
446,2020-09-30 10:00:00,2020,D-1,269039
453,2020-09-30 04:00:00,2020,D-1,49753
458,2020-09-30 18:00:00,2020,D-1,205685
459,2020-09-30 22:00:00,2020,D-1,88277
465,2020-09-30 01:00:00,2020,D-1,63049
466,2020-09-30 21:00:00,2020,D-1,119458
468,2020-09-30 00:00:00,2020,D-1,85948
471,2020-09-30 16:00:00,2020,D-1,264371
479,2020-09-30 13:00:00,2020,D-1,270841
480,2020-09-30 12:00:00,2020,D-1,285370
481,2020-09-30 20:00:00,2020,D-1,142440
482,2020-09-30 08:00:00,2020,D-1,175941
488,2020-09-30 19:00:00,2020,D-1,169140
491,2020-09-30 15:00:00,2020,D-1,261347
494,2020-09-30 17:00:00,2020,D-1,248639
495,2020-09-30 14:00:00,2020,D-1,266622
496,2020-09-30 06:00:00,2020,D-1,104964
498,2020-09-30 05:00:00,2020,D-1,70478
510,2020-10-01 04:00:00,2020,D,18596
516,2020-10-01 18:00:00,2020,D,263463
518,2020-10-01 02:00:00,2020,D,18040
519,2020-10-01 05:00:00,2020,D,36957
525,2020-10-01 23:00:00,2020,D,76752
527,2020-10-01 09:00:00,2020,D,222430
528,2020-10-01 03:00:00,2020,D,15104
531,2020-10-01 10:00:00,2020,D,289978
534,2020-10-01 22:00:00,2020,D,122085
538,2020-10-01 11:00:00,2020,D,349842
539,2020-10-01 08:00:00,2020,D,200980
546,2020-10-01 00:00:00,2020,D,39146
548,2020-10-01 12:00:00,2020,D,364359
549,2020-10-01 14:00:00,2020,D,363250
551,2020-10-01 06:00:00,2020,D,93482
558,2020-10-01 07:00:00,2020,D,178617
559,2020-10-01 13:00:00,2020,D,358356
563,2020-10-01 20:00:00,2020,D,195670
565,2020-10-01 19:00:00,2020,D,219144
567,2020-10-01 21:00:00,2020,D,167483
569,2020-10-01 16:00:00,2020,D,360306
570,2020-10-01 01:00:00,2020,D,25268
571,2020-10-01 15:00:00,2020,D,369311
575,2020-10-01 17:00:00,2020,D,327582
578,2021-09-19 23:00:00,2021,D-2,82803
581,2021-09-19 09:00:00,2021,D-2,220627
582,2021-09-19 22:00:00,2021,D-2,125443
588,2021-09-19 03:00:00,2021,D-2,27351
589,2021-09-19 11:00:00,2021,D-2,309192
594,2021-09-19 02:00:00,2021,D-2,28461
599,2021-09-19 04:00:00,2021,D-2,36179
601,2021-09-19 05:00:00,2021,D-2,62469
603,2021-09-19 07:00:00,2021,D-2,130601
604,2021-09-19 10:00:00,2021,D-2,276526
606,2021-09-19 18:00:00,2021,D-2,266848
608,2021-09-19 21:00:00,2021,D-2,162577
609,2021-09-19 16:00:00,2021,D-2,325955
614,2021-09-19 01:00:00,2021,D-2,37210
628,2021-09-19 00:00:00,2021,D-2,54219
630,2021-09-19 17:00:00,2021,D-2,309455
631,2021-09-19 15:00:00,2021,D-2,328262
633,2021-09-19 08:00:00,2021,D-2,169372
635,2021-09-19 19:00:00,2021,D-2,217989
636,2021-09-19 12:00:00,2021,D-2,319004
637,2021-09-19 13:00:00,2021,D-2,319816
638,2021-09-19 06:00:00,2021,D-2,99498
640,2021-09-19 20:00:00,2021,D-2,188752
641,2021-09-19 14:00:00,2021,D-2,324871
648,2021-09-20 21:00:00,2021,D-1,150673
651,2021-09-20 22:00:00,2021,D-1,113306
655,2021-09-20 17:00:00,2021,D-1,280444
656,2021-09-20 12:00:00,2021,D-1,334134
657,2021-09-20 13:00:00,2021,D-1,319830
658,2021-09-20 04:00:00,2021,D-1,30804
660,2021-09-20 11:00:00,2021,D-1,337419
667,2021-09-20 02:00:00,2021,D-1,26782
672,2021-09-20 18:00:00,2021,D-1,236221
673,2021-09-20 03:00:00,2021,D-1,24182
674,2021-09-20 16:00:00,2021,D-1,302470
676,2021-09-20 15:00:00,2021,D-1,313981
679,2021-09-20 19:00:00,2021,D-1,196442
682,2021-09-20 10:00:00,2021,D-1,300033
685,2021-09-20 07:00:00,2021,D-1,123384
688,2021-09-20 01:00:00,2021,D-1,35778
690,2021-09-20 20:00:00,2021,D-1,172423
700,2021-09-20 09:00:00,2021,D-1,236229
702,2021-09-20 14:00:00,2021,D-1,317320
703,2021-09-20 08:00:00,2021,D-1,171450
704,2021-09-20 23:00:00,2021,D-1,72217
708,2021-09-20 06:00:00,2021,D-1,84950
713,2021-09-20 00:00:00,2021,D-1,53920
718,2021-09-20 05:00:00,2021,D-1,53276
720,2021-09-21 18:00:00,2021,D,284840
721,2021-09-21 20:00:00,2021,D,229323
723,2021-09-21 21:00:00,2021,D,210894
727,2021-09-21 23:00:00,2021,D,121472
731,2021-09-21 09:00:00,2021,D,212256
735,2021-09-21 00:00:00,2021,D,43996
742,2021-09-21 05:00:00,2021,D,30343
746,2021-09-21 22:00:00,2021,D,166905
748,2021-09-21 11:00:00,2021,D,357584
750,2021-09-21 08:00:00,2021,D,190528
751,2021-09-21 06:00:00,2021,D,79296
752,2021-09-21 17:00:00,2021,D,335640
753,2021-09-21 12:00:00,2021,D,380641
754,2021-09-21 07:00:00,2021,D,163768
756,2021-09-21 14:00:00,2021,D,382026
759,2021-09-21 13:00:00,2021,D,373229
760,2021-09-21 16:00:00,2021,D,365516
769,2021-09-21 01:00:00,2021,D,27156
775,2021-09-21 02:00:00,2021,D,17167
777,2021-09-21 15:00:00,2021,D,381503
782,2021-09-21 03:00:00,2021,D,13590
784,2021-09-21 04:00:00,2021,D,15814
785,2021-09-21 19:00:00,2021,D,246195
787,2021-09-21 10:00:00,2021,D,287184
