,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,lat,long,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
3993,한국소방산업기술원,ME19F401,2,4,경기도 용인시 기흥구 지삼로 331,,09:00~19:00,37.233967785354,127.14409263,ME,환경부,환경부,1661-9408,9,20220921185310.0,20220920204503.0,20220920212330.0,,,100.0,단독,41,41460.0,A0,A003,Y,,N,,N,
3994,한국소방산업기술원,ME19F401,3,4,경기도 용인시 기흥구 지삼로 331,,09:00~19:00,37.233967785354,127.14409263,ME,환경부,환경부,1661-9408,2,20220921163317.0,20220921155311.0,20220921163317.0,,,100.0,단독,41,41460.0,A0,A003,Y,,N,,N,
3995,한국소방산업기술원,ME19F401,4,4,경기도 용인시 기흥구 지삼로 331,,09:00~19:00,37.233967785354,127.14409263,ME,환경부,환경부,1661-9408,3,20220921200022.0,20220921190035.0,20220921194143.0,20220921200022.0,,100.0,단독,41,41460.0,A0,A003,Y,,N,,N,
4257,용인시민체육센터 제2주차장,ME19X441,41,4,경기도 용인시 처인구 포곡읍 금어로 ,,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20220920085324.0,20220920082352.0,20220920085317.0,,,100.0,단독,41,41460.0,J0,J002,Y,,N,,N,
4258,용인시민체육센터 제2주차장,ME19X441,42,4,경기도 용인시 처인구 포곡읍 금어로 ,,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20220921192135.0,20220921185823.0,20220921192133.0,,,100.0,단독,41,41460.0,J0,J002,Y,,N,,N,
4259,용인시민체육센터 제2주차장,ME19X441,43,4,경기도 용인시 처인구 포곡읍 금어로 ,,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20220921185628.0,20220921181623.0,20220921185623.0,,,100.0,단독,41,41460.0,J0,J002,Y,,N,,N,
4260,용인시민체육센터 제2주차장,ME19X441,44,4,경기도 용인시 처인구 포곡읍 금어로 ,,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20220921125831.0,20220921115338.0,20220921123338.0,,,100.0,단독,41,41460.0,J0,J002,Y,,N,,N,
4520,구성동주민센터,ME19Y285,1,4,경기도 용인시 기흥구 구성로77번길 17,,24시간 이용가능,37.296872,127.118632,ME,환경부,환경부,1661-9408,2,20220921203131.0,20220921195047.0,20220921203131.0,,,100.0,단독,41,41460.0,A0,A002,N,,N,,N,
4521,구성동주민센터,ME19Y285,2,4,경기도 용인시 기흥구 구성로77번길 17,,24시간 이용가능,37.296872,127.118632,ME,환경부,환경부,1661-9408,2,20220921201205.0,20220921193319.0,20220921201205.0,,,100.0,단독,41,41460.0,A0,A002,N,,N,,N,
4636,이마트 수지점,ME19Z226,21,4,경기도 용인시 수지구 수지로 203,,10:00 ~ 23:00,37.319494,127.083188,ME,환경부,환경부,1661-9408,2,20220921181817.0,20220921180148.0,20220921181815.0,,,100.0,단독,41,41460.0,E0,E001,N,,N,,N,
